Timestamp,Server,Severity,Message,Infogérant,Application,Environment
2024-08-13 04:03:06.124639,Server3,INFO,Restart performed successfully,InfogérantA,App1,Staging
2024-08-17 03:20:06.124639,Server3,CRITICAL,System overload imminent.,InfogérantC,App3,Development
2024-08-12 08:17:06.124639,Server2,CRITICAL,Server is on fire,InfogérantB,App4,Staging
2024-08-13 15:37:06.124639,Server5,CRITICAL,Server is on fire,InfogérantC,App2,Production
2024-08-14 08:20:06.124639,Server2,ERROR,FileSystem saturated,InfogérantA,App4,Development
2024-08-14 07:43:06.124639,Server1,ERROR,FileSystem saturated,InfogérantB,App4,Staging
2024-08-17 09:17:06.124639,Server3,ERROR,Application crashed.,InfogérantC,App3,Production
2024-08-12 15:05:06.124639,Server4,INFO,System running smoothly.,InfogérantB,App3,Development
2024-08-14 09:24:06.124639,Server3,CRITICAL,Data corruption detected.,InfogérantC,App1,Production
2024-08-16 14:01:06.124639,Server4,WARNING,Load average running high,InfogérantB,App1,Staging
2024-08-17 09:25:06.124639,Server3,WARNING,High memory usage detected.,InfogérantA,App1,Development
2024-08-12 15:33:06.124639,Server4,CRITICAL,System bricked,InfogérantA,App2,Production
2024-08-17 08:59:06.124639,Server3,ERROR,FileSystem saturated,InfogérantA,App3,Staging
2024-08-10 20:19:06.124639,Server2,INFO,Update was successful,InfogérantB,App4,Staging
2024-08-11 10:42:06.124639,Server5,WARNING,High memory usage detected.,InfogérantB,App1,Staging
2024-08-12 02:54:06.124639,Server1,ERROR,FileSystem saturated,InfogérantA,App1,Staging
2024-08-12 04:24:06.124639,Server2,WARNING,Load average running high,InfogérantB,App1,Staging
2024-08-11 15:50:06.124639,Server5,INFO,Backup successful.,InfogérantC,App3,Staging
2024-08-11 18:11:06.124639,Server4,CRITICAL,Critical security vulnerability detected.,InfogérantC,App1,Staging
2024-08-15 20:10:06.124639,Server3,INFO,Routine check completed.,InfogérantC,App3,Staging
2024-08-10 17:38:06.124639,Server2,ERROR,Database connection lost.,InfogérantA,App1,Development
2024-08-12 19:49:06.124639,Server1,ERROR,Service unavailable.,InfogérantC,App1,Production
2024-08-15 13:58:06.124639,Server2,WARNING,Load average running high,InfogérantC,App4,Staging
2024-08-10 22:40:06.124639,Server5,ERROR,Server unresponsive,InfogérantC,App1,Production
2024-08-17 00:01:06.124639,Server1,CRITICAL,Critical security vulnerability detected.,InfogérantA,App2,Production
2024-08-13 02:16:06.124639,Server3,INFO,Update was successful,InfogérantC,App3,Staging
2024-08-16 15:42:06.124639,Server3,CRITICAL,System overload imminent.,InfogérantB,App3,Development
2024-08-16 11:59:06.124639,Server4,INFO,Backup successful.,InfogérantA,App3,Development
2024-08-14 14:33:06.124639,Server5,ERROR,Service unavailable.,InfogérantA,App3,Development
2024-08-14 07:53:06.124639,Server3,ERROR,Server unresponsive,InfogérantC,App4,Development
2024-08-12 16:50:06.124639,Server1,WARNING,Disk space running low.,InfogérantA,App2,Production
2024-08-11 14:18:06.124639,Server3,INFO,Restart performed successfully,InfogérantC,App2,Production
2024-08-11 20:22:06.124639,Server5,INFO,Routine check completed.,InfogérantB,App2,Production
2024-08-11 21:51:06.124639,Server2,CRITICAL,System bricked,InfogérantC,App3,Development
2024-08-12 15:16:06.124639,Server5,ERROR,FileSystem saturated,InfogérantB,App2,Staging
2024-08-11 00:17:06.124639,Server5,ERROR,Database connection lost.,InfogérantA,App2,Production
2024-08-14 17:09:06.124639,Server2,ERROR,Server unresponsive,InfogérantC,App2,Production
2024-08-13 11:37:06.124639,Server1,INFO,Restart performed successfully,InfogérantC,App4,Development
2024-08-13 12:21:06.124639,Server5,WARNING,Disk space running low.,InfogérantA,App4,Development
2024-08-17 08:39:06.124639,Server4,ERROR,Database connection lost.,InfogérantC,App3,Staging
2024-08-11 12:42:06.124639,Server1,ERROR,FileSystem saturated,InfogérantA,App4,Development
2024-08-13 13:58:06.124639,Server1,WARNING,MySQL response time slow,InfogérantC,App1,Production
2024-08-15 23:02:06.124639,Server4,WARNING,High memory usage detected.,InfogérantA,App2,Staging
2024-08-13 16:48:06.124639,Server5,INFO,Update was successful,InfogérantA,App1,Development
2024-08-13 07:03:06.124639,Server3,ERROR,Server unresponsive,InfogérantB,App2,Development
2024-08-16 01:44:06.124639,Server4,ERROR,Service unavailable.,InfogérantC,App4,Development
2024-08-14 13:31:06.124639,Server5,WARNING,Load average running high,InfogérantA,App3,Production
2024-08-12 09:03:06.124639,Server4,INFO,Update was successful,InfogérantC,App2,Development
2024-08-17 01:28:06.124639,Server5,INFO,Backup successful.,InfogérantC,App1,Production
2024-08-11 09:25:06.124639,Server1,CRITICAL,System overload imminent.,InfogérantB,App4,Development
2024-08-16 16:40:06.124639,Server2,CRITICAL,Data corruption detected.,InfogérantB,App3,Staging
2024-08-11 10:19:06.124639,Server5,CRITICAL,Server is on fire,InfogérantC,App4,Development
2024-08-13 15:08:06.124639,Server5,INFO,Backup successful.,InfogérantB,App1,Development
2024-08-13 20:19:06.124639,Server4,CRITICAL,Critical security vulnerability detected.,InfogérantB,App4,Staging
2024-08-16 00:50:06.124639,Server1,ERROR,Application crashed.,InfogérantC,App2,Development
2024-08-12 05:16:06.124639,Server2,INFO,Backup successful.,InfogérantA,App3,Development
2024-08-15 14:24:06.124639,Server4,INFO,System running smoothly.,InfogérantA,App4,Production
2024-08-13 18:27:06.124639,Server1,WARNING,MySQL response time slow,InfogérantC,App1,Staging
2024-08-12 22:39:06.124639,Server1,WARNING,MySQL response time slow,InfogérantC,App4,Development
2024-08-14 20:36:06.124639,Server1,ERROR,Database connection lost.,InfogérantA,App3,Staging
2024-08-15 14:05:06.124639,Server2,CRITICAL,System bricked,InfogérantA,App4,Development
2024-08-16 15:10:06.124639,Server3,WARNING,High memory usage detected.,InfogérantB,App1,Staging
2024-08-16 21:55:06.124639,Server3,INFO,Update was successful,InfogérantC,App1,Production
2024-08-14 09:08:06.124639,Server4,CRITICAL,Server is on fire,InfogérantC,App3,Development
2024-08-15 09:43:06.124639,Server4,ERROR,Server unresponsive,InfogérantC,App1,Staging
2024-08-14 12:45:06.124639,Server4,WARNING,High memory usage detected.,InfogérantB,App4,Development
2024-08-17 07:31:06.124639,Server5,WARNING,Disk space running low.,InfogérantA,App4,Staging
2024-08-12 21:46:06.124639,Server1,ERROR,Service unavailable.,InfogérantC,App1,Development
2024-08-16 01:48:06.124639,Server1,INFO,Update was successful,InfogérantC,App3,Staging
2024-08-15 00:22:06.124639,Server2,ERROR,Service unavailable.,InfogérantB,App4,Development
2024-08-13 10:32:06.124639,Server4,ERROR,Application crashed.,InfogérantB,App2,Development
2024-08-15 22:46:06.124639,Server3,INFO,Routine check completed.,InfogérantC,App4,Production
2024-08-16 06:36:06.124639,Server3,CRITICAL,System overload imminent.,InfogérantB,App3,Production
2024-08-13 05:54:06.124639,Server1,INFO,Update was successful,InfogérantC,App3,Production
2024-08-16 13:33:06.124639,Server1,WARNING,High memory usage detected.,InfogérantB,App4,Development
2024-08-15 10:00:06.124639,Server1,ERROR,Service unavailable.,InfogérantC,App4,Staging
2024-08-13 01:18:06.124639,Server4,CRITICAL,System overload imminent.,InfogérantC,App2,Staging
2024-08-13 07:11:06.124639,Server5,ERROR,Server unresponsive,InfogérantC,App3,Staging
2024-08-13 10:23:06.124639,Server5,WARNING,High memory usage detected.,InfogérantC,App4,Production
2024-08-10 17:07:06.124639,Server4,CRITICAL,Data corruption detected.,InfogérantB,App1,Development
2024-08-16 09:17:06.124639,Server3,INFO,Backup successful.,InfogérantC,App3,Staging
2024-08-12 08:42:06.124639,Server5,ERROR,Database connection lost.,InfogérantC,App3,Production
2024-08-13 14:55:06.124639,Server1,CRITICAL,Data corruption detected.,InfogérantA,App3,Staging
2024-08-11 08:56:06.124639,Server3,INFO,Backup successful.,InfogérantA,App1,Production
2024-08-15 00:20:06.124639,Server5,CRITICAL,System bricked,InfogérantC,App4,Production
2024-08-15 08:09:06.124639,Server5,INFO,System running smoothly.,InfogérantB,App2,Staging
2024-08-14 16:48:06.124639,Server4,ERROR,Database connection lost.,InfogérantB,App4,Development
2024-08-12 18:48:06.124639,Server3,CRITICAL,Critical security vulnerability detected.,InfogérantB,App4,Staging
2024-08-13 06:41:06.124639,Server1,CRITICAL,Data corruption detected.,InfogérantA,App2,Staging
2024-08-10 23:21:06.124639,Server5,INFO,Update was successful,InfogérantA,App2,Staging
2024-08-14 23:32:06.124639,Server1,WARNING,High memory usage detected.,InfogérantA,App2,Production
2024-08-14 11:34:06.124639,Server4,INFO,Backup successful.,InfogérantC,App4,Development
2024-08-16 03:37:06.124639,Server1,CRITICAL,Critical security vulnerability detected.,InfogérantA,App2,Staging
2024-08-14 18:05:06.124639,Server2,WARNING,MySQL response time slow,InfogérantB,App2,Development
2024-08-10 16:22:06.124639,Server3,INFO,Update was successful,InfogérantC,App1,Development
2024-08-16 00:54:06.124639,Server5,ERROR,Database connection lost.,InfogérantC,App4,Production
2024-08-11 16:31:06.124639,Server2,WARNING,Unusual login activity detected.,InfogérantC,App1,Development
2024-08-15 23:30:06.124639,Server2,ERROR,Service unavailable.,InfogérantA,App1,Production
2024-08-15 02:19:06.124639,Server2,WARNING,Disk space running low.,InfogérantB,App1,Staging
2024-08-11 17:58:06.124639,Server3,INFO,Restart performed successfully,InfogérantA,App1,Production
2024-08-11 06:03:06.124639,Server4,CRITICAL,Server is on fire,InfogérantB,App3,Development
2024-08-16 14:12:06.124639,Server2,ERROR,Application crashed.,InfogérantC,App2,Production
2024-08-15 01:33:06.124639,Server2,WARNING,Unusual login activity detected.,InfogérantC,App4,Development
2024-08-10 16:45:06.124639,Server3,CRITICAL,Server is on fire,InfogérantA,App3,Staging
2024-08-12 09:25:06.124639,Server4,CRITICAL,Critical security vulnerability detected.,InfogérantA,App4,Development
2024-08-14 10:43:06.124639,Server4,ERROR,FileSystem saturated,InfogérantC,App3,Development
2024-08-14 21:14:06.124639,Server1,ERROR,Database connection lost.,InfogérantC,App1,Development
2024-08-13 00:23:06.124639,Server2,ERROR,Application crashed.,InfogérantC,App2,Development
2024-08-15 21:40:06.124639,Server3,CRITICAL,Data corruption detected.,InfogérantC,App2,Development
2024-08-14 07:30:06.124639,Server2,WARNING,Unusual login activity detected.,InfogérantB,App2,Staging
2024-08-16 02:57:06.124639,Server5,CRITICAL,System bricked,InfogérantC,App4,Production
2024-08-17 03:27:06.124639,Server3,WARNING,Disk space running low.,InfogérantA,App3,Production
2024-08-17 11:09:06.124639,Server3,ERROR,Application crashed.,InfogérantA,App1,Production
2024-08-14 11:45:06.124639,Server5,WARNING,Unusual login activity detected.,InfogérantC,App2,Staging
2024-08-12 01:16:06.124639,Server1,CRITICAL,Critical security vulnerability detected.,InfogérantA,App3,Staging
2024-08-16 22:31:06.124639,Server1,ERROR,FileSystem saturated,InfogérantA,App4,Staging
2024-08-15 23:26:06.124639,Server4,INFO,Backup successful.,InfogérantC,App4,Staging
2024-08-15 17:57:06.124639,Server1,CRITICAL,System bricked,InfogérantA,App2,Staging
2024-08-15 23:06:06.124639,Server1,WARNING,Load average running high,InfogérantA,App3,Production
2024-08-14 17:31:06.124639,Server1,INFO,Routine check completed.,InfogérantA,App4,Staging
2024-08-17 11:48:06.124639,Server2,INFO,Routine check completed.,InfogérantC,App2,Production
2024-08-15 19:58:06.124639,Server2,ERROR,FileSystem saturated,InfogérantA,App1,Development
2024-08-13 21:57:06.124639,Server1,ERROR,Server unresponsive,InfogérantA,App2,Staging
2024-08-14 19:04:06.124639,Server2,WARNING,MySQL response time slow,InfogérantA,App4,Production
2024-08-15 05:53:06.124639,Server2,WARNING,MySQL response time slow,InfogérantA,App1,Production
2024-08-11 20:50:06.124639,Server3,WARNING,MySQL response time slow,InfogérantB,App4,Production
2024-08-12 14:49:06.124639,Server4,INFO,System running smoothly.,InfogérantB,App3,Development
2024-08-12 12:21:06.124639,Server4,ERROR,Database connection lost.,InfogérantC,App2,Development
2024-08-11 03:39:06.124639,Server1,CRITICAL,Critical security vulnerability detected.,InfogérantA,App4,Development
2024-08-17 09:58:06.124639,Server2,WARNING,High memory usage detected.,InfogérantB,App1,Production
2024-08-10 20:28:06.124639,Server2,CRITICAL,Data corruption detected.,InfogérantA,App2,Development
2024-08-11 22:15:06.124639,Server1,CRITICAL,System overload imminent.,InfogérantA,App1,Staging
2024-08-17 12:18:06.124639,Server4,INFO,Restart performed successfully,InfogérantA,App1,Staging
2024-08-15 10:13:06.124639,Server4,CRITICAL,Server is on fire,InfogérantB,App1,Production
2024-08-13 16:50:06.124639,Server1,INFO,Backup successful.,InfogérantA,App4,Production
2024-08-17 00:35:06.124639,Server2,ERROR,Server unresponsive,InfogérantB,App4,Staging
2024-08-14 19:33:06.124639,Server2,CRITICAL,System bricked,InfogérantC,App3,Staging
2024-08-12 17:29:06.124639,Server4,INFO,Routine check completed.,InfogérantA,App3,Development
2024-08-16 14:16:06.124639,Server1,INFO,System running smoothly.,InfogérantB,App1,Development
2024-08-13 11:39:06.124639,Server5,WARNING,MySQL response time slow,InfogérantC,App3,Staging
2024-08-16 01:03:06.124639,Server5,ERROR,Database connection lost.,InfogérantC,App2,Staging
2024-08-16 03:33:06.124639,Server2,ERROR,Server unresponsive,InfogérantB,App1,Staging
2024-08-12 16:13:06.124639,Server5,ERROR,Application crashed.,InfogérantA,App2,Production
2024-08-14 03:03:06.124639,Server3,CRITICAL,System bricked,InfogérantA,App1,Production
2024-08-11 11:20:06.124639,Server1,ERROR,Database connection lost.,InfogérantA,App4,Development
2024-08-16 16:51:06.124639,Server2,WARNING,MySQL response time slow,InfogérantB,App4,Development
2024-08-15 12:04:06.124639,Server3,CRITICAL,Critical security vulnerability detected.,InfogérantA,App2,Production
2024-08-11 11:03:06.124639,Server1,CRITICAL,System bricked,InfogérantA,App2,Production
2024-08-12 11:50:06.124639,Server5,CRITICAL,Server is on fire,InfogérantC,App1,Staging
2024-08-16 06:03:06.124639,Server3,ERROR,Service unavailable.,InfogérantA,App2,Staging
2024-08-10 17:41:06.124639,Server1,ERROR,Application crashed.,InfogérantA,App4,Staging
2024-08-14 03:48:06.124639,Server4,WARNING,Disk space running low.,InfogérantB,App2,Production
2024-08-17 09:26:06.124639,Server4,WARNING,Disk space running low.,InfogérantB,App2,Development
2024-08-13 02:17:06.124639,Server2,WARNING,MySQL response time slow,InfogérantC,App1,Staging
2024-08-15 15:46:06.124639,Server3,WARNING,Disk space running low.,InfogérantA,App3,Staging
2024-08-13 04:22:06.124639,Server5,WARNING,Unusual login activity detected.,InfogérantA,App1,Staging
2024-08-12 03:51:06.124639,Server5,WARNING,Unusual login activity detected.,InfogérantA,App1,Staging
2024-08-10 19:38:06.124639,Server1,CRITICAL,System overload imminent.,InfogérantB,App3,Staging
2024-08-17 09:36:06.124639,Server2,CRITICAL,Server is on fire,InfogérantB,App1,Production
2024-08-17 06:13:06.124639,Server2,WARNING,Unusual login activity detected.,InfogérantA,App2,Staging
2024-08-13 08:58:06.124639,Server1,ERROR,FileSystem saturated,InfogérantA,App3,Staging
2024-08-17 00:00:06.124639,Server1,INFO,Restart performed successfully,InfogérantB,App2,Production
2024-08-16 17:14:06.124639,Server2,ERROR,FileSystem saturated,InfogérantA,App4,Development
2024-08-16 10:26:06.124639,Server1,INFO,Restart performed successfully,InfogérantB,App4,Staging
2024-08-13 23:49:06.124639,Server5,INFO,Routine check completed.,InfogérantA,App2,Production
2024-08-17 04:24:06.124639,Server5,ERROR,Server unresponsive,InfogérantB,App3,Production
2024-08-14 22:27:06.124639,Server2,ERROR,Database connection lost.,InfogérantB,App3,Development
2024-08-14 19:35:06.124639,Server1,WARNING,MySQL response time slow,InfogérantB,App2,Production
2024-08-12 13:53:06.124639,Server5,WARNING,High memory usage detected.,InfogérantC,App3,Production
2024-08-13 18:37:06.124639,Server1,INFO,Update was successful,InfogérantC,App3,Staging
2024-08-17 03:38:06.124639,Server2,CRITICAL,System bricked,InfogérantC,App3,Production
2024-08-12 08:24:06.124639,Server1,CRITICAL,System bricked,InfogérantA,App1,Production
2024-08-16 09:21:06.124639,Server5,ERROR,FileSystem saturated,InfogérantA,App4,Staging
2024-08-12 22:27:06.124639,Server1,WARNING,High memory usage detected.,InfogérantC,App3,Staging
2024-08-15 21:07:06.124639,Server3,INFO,Restart performed successfully,InfogérantC,App2,Production
2024-08-16 20:28:06.124639,Server4,CRITICAL,Critical security vulnerability detected.,InfogérantB,App1,Staging
2024-08-17 04:02:06.124639,Server2,INFO,System running smoothly.,InfogérantB,App4,Development
2024-08-15 07:40:06.124639,Server3,ERROR,Database connection lost.,InfogérantC,App4,Development
2024-08-15 20:47:06.124639,Server5,INFO,Restart performed successfully,InfogérantC,App2,Development
2024-08-16 15:36:06.124639,Server5,WARNING,Unusual login activity detected.,InfogérantA,App1,Staging
2024-08-14 19:07:06.124639,Server4,INFO,Backup successful.,InfogérantC,App1,Development
2024-08-11 21:00:06.124639,Server2,INFO,Routine check completed.,InfogérantB,App3,Staging
2024-08-13 09:03:06.124639,Server4,INFO,Update was successful,InfogérantC,App2,Development
2024-08-12 06:00:06.124639,Server5,WARNING,Unusual login activity detected.,InfogérantA,App4,Development
2024-08-10 23:41:06.124639,Server3,ERROR,Server unresponsive,InfogérantC,App1,Development
2024-08-17 06:01:06.124639,Server4,ERROR,Database connection lost.,InfogérantB,App3,Staging
2024-08-16 01:13:06.124639,Server4,INFO,Backup successful.,InfogérantA,App4,Development
2024-08-11 03:05:06.124639,Server3,CRITICAL,Server is on fire,InfogérantB,App1,Production
2024-08-12 05:04:06.124639,Server4,CRITICAL,Data corruption detected.,InfogérantC,App1,Production
2024-08-14 03:19:06.124639,Server1,ERROR,Service unavailable.,InfogérantB,App4,Development
2024-08-16 22:54:06.124639,Server2,WARNING,High memory usage detected.,InfogérantC,App2,Development
2024-08-16 10:00:06.124639,Server1,WARNING,Unusual login activity detected.,InfogérantC,App4,Staging
2024-08-11 14:10:06.124639,Server1,ERROR,Service unavailable.,InfogérantB,App3,Staging
2024-08-10 20:47:06.124639,Server5,INFO,System running smoothly.,InfogérantC,App4,Production
2024-08-15 02:34:06.124639,Server4,INFO,Restart performed successfully,InfogérantC,App1,Staging
2024-08-14 04:37:06.124639,Server2,ERROR,FileSystem saturated,InfogérantA,App4,Development
2024-08-17 11:54:06.124639,Server3,ERROR,FileSystem saturated,InfogérantC,App2,Production
2024-08-15 00:27:06.124639,Server1,ERROR,FileSystem saturated,InfogérantA,App1,Development
2024-08-10 21:15:06.124639,Server3,WARNING,Load average running high,InfogérantB,App1,Production
2024-08-14 14:12:06.124639,Server4,ERROR,Database connection lost.,InfogérantB,App2,Staging
2024-08-16 01:40:06.124639,Server4,INFO,Backup successful.,InfogérantA,App3,Development
2024-08-14 13:19:06.124639,Server2,CRITICAL,System bricked,InfogérantC,App3,Development
2024-08-11 04:05:06.124639,Server5,CRITICAL,Data corruption detected.,InfogérantA,App3,Staging
2024-08-14 23:28:06.124639,Server2,ERROR,Application crashed.,InfogérantA,App3,Development
2024-08-15 07:48:06.124639,Server4,ERROR,FileSystem saturated,InfogérantA,App2,Production
2024-08-12 20:26:06.124639,Server3,CRITICAL,Server is on fire,InfogérantB,App4,Development
2024-08-13 20:08:06.124639,Server1,WARNING,High memory usage detected.,InfogérantA,App1,Staging
2024-08-16 10:53:06.124639,Server1,INFO,Backup successful.,InfogérantC,App1,Development
2024-08-12 17:01:06.124639,Server4,INFO,Update was successful,InfogérantA,App3,Development
2024-08-14 00:11:06.124639,Server1,ERROR,Service unavailable.,InfogérantA,App3,Staging
2024-08-14 06:33:06.124639,Server4,CRITICAL,System overload imminent.,InfogérantC,App4,Production
2024-08-12 13:59:06.124639,Server1,WARNING,Unusual login activity detected.,InfogérantC,App4,Staging
2024-08-11 16:28:06.124639,Server5,CRITICAL,System overload imminent.,InfogérantA,App3,Production
2024-08-16 03:19:06.124639,Server4,ERROR,FileSystem saturated,InfogérantA,App3,Development
2024-08-14 13:35:06.124639,Server3,INFO,Backup successful.,InfogérantC,App1,Development
2024-08-11 23:37:06.124639,Server5,INFO,Routine check completed.,InfogérantB,App4,Production
2024-08-12 11:42:06.124639,Server2,WARNING,Disk space running low.,InfogérantA,App3,Staging
2024-08-11 11:28:06.124639,Server2,CRITICAL,Server is on fire,InfogérantC,App1,Staging
2024-08-12 18:02:06.124639,Server4,CRITICAL,System bricked,InfogérantC,App1,Staging
2024-08-14 18:22:06.124639,Server5,CRITICAL,System bricked,InfogérantA,App4,Production
2024-08-13 04:10:06.124639,Server1,ERROR,Service unavailable.,InfogérantC,App4,Development
2024-08-10 14:04:06.124639,Server3,INFO,Backup successful.,InfogérantA,App3,Development
2024-08-13 19:15:06.124639,Server2,WARNING,Unusual login activity detected.,InfogérantB,App2,Development
2024-08-16 14:40:06.124639,Server3,CRITICAL,Critical security vulnerability detected.,InfogérantA,App4,Production
2024-08-14 21:27:06.124639,Server1,ERROR,Application crashed.,InfogérantA,App1,Development
2024-08-13 19:09:06.124639,Server1,ERROR,Database connection lost.,InfogérantC,App3,Staging
2024-08-12 17:01:06.124639,Server1,INFO,System running smoothly.,InfogérantB,App2,Development
2024-08-11 15:21:06.124639,Server5,WARNING,High memory usage detected.,InfogérantB,App3,Staging
2024-08-14 13:18:06.124639,Server2,WARNING,High memory usage detected.,InfogérantB,App2,Staging
2024-08-15 06:25:06.124639,Server5,WARNING,Load average running high,InfogérantA,App3,Development
2024-08-14 17:52:06.124639,Server2,WARNING,Load average running high,InfogérantB,App3,Production
2024-08-12 04:30:06.124639,Server5,INFO,Update was successful,InfogérantC,App1,Production
2024-08-11 14:09:06.124639,Server5,ERROR,Database connection lost.,InfogérantB,App3,Staging
2024-08-17 12:03:06.124639,Server5,CRITICAL,Data corruption detected.,InfogérantB,App3,Development
2024-08-11 09:43:06.124639,Server1,CRITICAL,Critical security vulnerability detected.,InfogérantA,App1,Staging
